hora;ultrasonido;laser;muro
11:01:14 p. m.;3037;482.7;concavo
11:01:17 p. m.;2927;482.6;concavo
11:01:21 p. m.;1227;200.4;convexo
11:01:22 p. m.;2263;203.9;convexo
11:01:27 p. m.;1214;184.9;convexo
11:01:28 p. m.;1231;185;convexo
11:01:32 p. m.;2782;499.2;plano
11:01:34 p. m.;2783;499;plano
11:01:38 p. m.;2764;498.7;plano
11:01:40 p. m.;2776;498;plano
