hora;ultrasonido;laser;real
9:31:28 a. m.;678;114.6;10
9:31:30 a. m.;651;114.4;10
9:31:32 a. m.;667;113.8;10
9:31:34 a. m.;678;114.5;10
9:31:38 a. m.;803;135.5;12
9:31:40 a. m.;779;135.1;12
9:31:41 a. m.;805;136.6;12
9:31:43 a. m.;798;135.7;12
9:31:48 a. m.;944;159.2;14.5
9:31:49 a. m.;933;159.6;14.5
9:31:51 a. m.;923;161.4;14.5
9:31:52 a. m.;920;161.2;14.5
9:31:57 a. m.;1016;175.3;16
9:31:58 a. m.;1004;174.2;16
9:32:00 a. m.;995;174;16
9:32:01 a. m.;1011;174.7;16
9:32:06 a. m.;1164;199.8;18.5
9:32:08 a. m.;1164;200.1;18.5
9:32:09 a. m.;1164;198.9;18.5
9:32:11 a. m.;1164;199.3;18.5
9:32:15 a. m.;1282;221.7;20
9:32:17 a. m.;1256;222.8;20
9:32:19 a. m.;1257;222.7;20
9:32:20 a. m.;1256;224;20
9:32:24 a. m.;1329;235.5;22
9:32:26 a. m.;1319;235.4;22
9:32:28 a. m.;1360;234.6;22
9:32:29 a. m.;1348;235.3;22
9:32:34 a. m.;1468;258.3;24
9:32:35 a. m.;1444;258;24
9:32:37 a. m.;1443;257.7;24
9:32:39 a. m.;1490;259.2;24
9:32:43 a. m.;1598;283.1;26
9:32:45 a. m.;1595;282.9;26
9:32:46 a. m.;1596;282.8;26
9:32:48 a. m.;1571;283.3;26
9:32:53 a. m.;1722;305;28
9:32:54 a. m.;1738;304.6;28
9:32:56 a. m.;1710;304.3;28
9:32:58 a. m.;1709;305.5;28
9:33:02 a. m.;1833;330;30
9:33:04 a. m.;1835;329.5;30
9:33:05 a. m.;1837;330.8;30
9:33:07 a. m.;1825;329.6;30
9:33:12 a. m.;1974;354.8;32
9:33:13 a. m.;1971;353.9;32
9:33:15 a. m.;1970;354.8;32
9:33:16 a. m.;1970;354.3;32
9:33:21 a. m.;2129;377.8;35
9:33:23 a. m.;2107;379.7;35
9:33:24 a. m.;2125;378.7;35
9:33:26 a. m.;2106;378.8;35
9:33:30 a. m.;2192;391.8;36
9:33:32 a. m.;2193;391.3;36
9:33:33 a. m.;2172;392;36
9:33:35 a. m.;2177;390.7;36
9:33:40 a. m.;2309;417;39
9:33:41 a. m.;2344;418.5;39
9:33:43 a. m.;2309;417.7;39
9:33:44 a. m.;2332;416.7;39
9:33:49 a. m.;2465;441.2;41
9:33:51 a. m.;2459;440.4;41
9:33:52 a. m.;2443;441.8;41
9:33:54 a. m.;2443;442.3;41
9:33:58 a. m.;2588;462.7;44
9:34:00 a. m.;2572;463.3;44
9:34:02 a. m.;2592;462.8;44
9:34:03 a. m.;2570;464.6;44
9:34:08 a. m.;2679;486.7;46
9:34:10 a. m.;2718;485.2;46
9:34:11 a. m.;2681;485.6;46
9:34:13 a. m.;2703;484.2;46
9:34:17 a. m.;2782;497.6;47
9:34:19 a. m.;2745;498.7;47
9:34:20 a. m.;2745;498.9;47
9:34:22 a. m.;2755;498.4;47
9:34:27 a. m.;2947;530.1;49
9:34:29 a. m.;2960;528.2;49
9:34:30 a. m.;2964;529.8;49
9:34:32 a. m.;2965;529;49
9:34:36 a. m.;3020;541;51
9:34:38 a. m.;3020;541.8;51
9:34:39 a. m.;3035;542.2;51
9:34:41 a. m.;3031;540.3;51
9:34:46 a. m.;3152;563.4;54
9:34:47 a. m.;3149;567.3;54
9:34:49 a. m.;3122;566.3;54
9:34:51 a. m.;3121;564.8;54
9:34:56 a. m.;3299;599.2;57
9:34:57 a. m.;3325;597.6;57
9:34:59 a. m.;3301;596.1;57
9:35:01 a. m.;3311;595.9;57
9:35:05 a. m.;3359;608.2;58
9:35:06 a. m.;3352;608.4;58
9:35:08 a. m.;3374;610.8;58
9:35:10 a. m.;3385;611;58
9:35:14 a. m.;3492;631.4;60
9:35:16 a. m.;3481;633.1;60
9:35:18 a. m.;3487;633.5;60
9:35:19 a. m.;3485;631.6;60
